"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Mar-2019","EQ","1,069.00","1,069.00","1,039.00","1,055.95","1,044.00","1,043.30","1,053.36","1,076.85","732.30",2584721,"2,722,649,334.05",77979
"06-Mar-2019","EQ","1,038.00","1,060.90","1,028.30","1,035.00","1,055.40","1,055.95","1,049.85","1,076.85","732.30",2758056,"2,895,546,921.50",71156
"05-Mar-2019","EQ","1,023.60","1,039.95","1,016.20","1,021.35","1,037.00","1,035.00","1,028.83","1,076.85","732.30",1577329,"1,622,809,707.15",97766
"01-Mar-2019","EQ","1,031.90","1,036.00","1,017.10","1,025.20","1,022.00","1,021.35","1,023.15","1,076.85","732.30",1967656,"2,013,213,677.75",63271
"28-Feb-2019","EQ","1,018.00","1,033.80","1,002.05","1,016.25","1,032.45","1,025.20","1,015.97","1,076.85","732.30",5080712,"5,161,858,084.60",130539
"27-Feb-2019","EQ","1,042.90","1,047.15","1,013.95","1,038.35","1,017.65","1,016.25","1,027.57","1,076.85","732.30",1897310,"1,949,617,119.50",80112
"26-Feb-2019","EQ","1,039.00","1,041.90","1,016.05","1,043.00","1,038.75","1,038.35","1,029.91","1,076.85","732.30",1906268,"1,963,292,270.30",88827
"25-Feb-2019","EQ","1,038.00","1,055.00","1,035.60","1,041.60","1,043.70","1,043.00","1,042.65","1,076.85","732.30",1691809,"1,763,958,762.20",90614
"22-Feb-2019","EQ","1,035.50","1,044.00","1,030.30","1,042.50","1,040.20","1,041.60","1,037.68","1,076.85","732.30",1298608,"1,347,540,252.65",81906
"21-Feb-2019","EQ","1,039.90","1,045.00","1,031.25","1,032.75","1,043.50","1,042.50","1,038.56","1,076.85","732.30",1220939,"1,268,015,620.30",63288
"20-Feb-2019","EQ","1,030.00","1,044.40","1,027.50","1,028.80","1,033.50","1,032.75","1,034.31","1,076.85","732.30",1506583,"1,558,274,176.70",61256
"19-Feb-2019","EQ","1,030.45","1,049.80","1,025.30","1,027.35","1,028.85","1,028.80","1,038.97","1,076.85","732.30",1551617,"1,612,082,220.20",51788
"18-Feb-2019","EQ","1,040.10","1,040.65","1,021.30","1,039.00","1,030.45","1,027.35","1,027.54","1,076.85","732.30",1023065,"1,051,243,362.30",42320
"15-Feb-2019","EQ","1,035.00","1,052.00","1,016.80","1,042.25","1,038.50","1,039.00","1,031.93","1,076.85","732.30",2566210,"2,648,142,217.65",74680
"14-Feb-2019","EQ","1,063.95","1,063.95","1,030.50","1,050.95","1,042.25","1,042.25","1,039.56","1,076.85","732.30",2182379,"2,268,720,328.50",119848
"13-Feb-2019","EQ","1,068.30","1,071.25","1,047.80","1,066.25","1,052.40","1,050.95","1,057.95","1,076.85","732.30",1185932,"1,254,650,898.25",44782
"12-Feb-2019","EQ","1,058.00","1,073.95","1,050.10","1,056.40","1,066.00","1,066.25","1,065.66","1,076.85","732.30",3075801,"3,277,772,462.70",87273
