"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Feb-2020","EQ","1,485.50","1,574.40","1,485.50","1,485.50","1,564.00","1,563.85","1,544.14","1,574.40","1,046.20",1152095,"1,778,997,432.30",45458
"01-Feb-2020","EQ","1,506.00","1,526.85","1,475.00","1,512.05","1,485.50","1,485.50","1,506.06","1,545.00","1,046.20",316425,"476,556,231.55",15093
"31-Jan-2020","EQ","1,529.80","1,538.00","1,505.25","1,520.85","1,505.70","1,512.05","1,521.53","1,545.00","1,046.20",769665,"1,171,066,077.10",38391
"30-Jan-2020","EQ","1,535.00","1,545.00","1,495.00","1,496.70","1,522.10","1,520.85","1,520.34","1,545.00","1,046.20",2558856,"3,890,327,362.55",80612
"29-Jan-2020","EQ","1,466.20","1,509.90","1,466.20","1,461.60","1,508.50","1,496.70","1,484.50","1,509.90","1,046.20",634978,"942,627,873.70",25050
"28-Jan-2020","EQ","1,474.00","1,479.10","1,452.10","1,476.70","1,463.00","1,461.60","1,468.26","1,493.50","1,046.20",306007,"449,297,159.70",24350
"27-Jan-2020","EQ","1,458.20","1,481.70","1,451.00","1,457.60","1,465.55","1,476.70","1,472.49","1,493.50","1,046.20",767088,"1,129,532,478.90",21636
"24-Jan-2020","EQ","1,440.00","1,461.50","1,436.10","1,444.40","1,457.50","1,457.60","1,448.87","1,493.50","1,046.20",501998,"727,328,408.15",19480
"23-Jan-2020","EQ","1,429.05","1,447.00","1,420.00","1,428.55","1,441.50","1,444.40","1,432.63","1,493.50","1,046.20",208565,"298,795,606.55",12531
"22-Jan-2020","EQ","1,423.65","1,444.95","1,418.80","1,414.75","1,429.05","1,428.55","1,432.29","1,493.50","1,046.20",348810,"499,597,773.85",19706
"21-Jan-2020","EQ","1,439.25","1,440.00","1,412.50","1,440.40","1,416.00","1,414.75","1,421.29","1,493.50","1,046.20",235201,"334,288,858.55",17207
"20-Jan-2020","EQ","1,450.00","1,465.00","1,438.20","1,447.85","1,442.35","1,440.40","1,451.51","1,493.50","1,046.20",326309,"473,641,047.75",14837
"17-Jan-2020","EQ","1,453.50","1,455.20","1,434.20","1,452.65","1,447.10","1,447.85","1,442.75","1,493.50","1,046.20",489591,"706,359,474.05",32716
"16-Jan-2020","EQ","1,431.25","1,456.00","1,430.05","1,432.05","1,452.90","1,452.65","1,448.11","1,493.50","1,046.20",569179,"824,233,830.75",24724
"15-Jan-2020","EQ","1,426.80","1,438.70","1,415.10","1,427.20","1,433.00","1,432.05","1,424.22","1,493.50","1,046.20",392459,"558,948,213.65",15599
"14-Jan-2020","EQ","1,425.50","1,431.70","1,417.00","1,425.50","1,426.80","1,427.20","1,424.30","1,493.50","1,046.20",285820,"407,093,090.75",16790
"13-Jan-2020","EQ","1,419.90","1,434.40","1,415.10","1,415.15","1,422.85","1,425.50","1,424.01","1,493.50","1,046.20",297267,"423,310,486.80",14440
"10-Jan-2020","EQ","1,420.00","1,432.85","1,409.15","1,414.40","1,416.70","1,415.15","1,421.11","1,493.50","1,046.20",2584478,"3,672,819,365.00",23210
"09-Jan-2020","EQ","1,410.55","1,425.45","1,407.10","1,403.55","1,415.00","1,414.40","1,415.39","1,493.50","1,046.20",510894,"723,114,505.70",16693
"08-Jan-2020","EQ","1,392.10","1,407.30","1,389.00","1,399.70","1,403.60","1,403.55","1,398.78","1,493.50","1,046.20",259791,"363,390,494.65",17112
"07-Jan-2020","EQ","1,390.10","1,431.85","1,390.00","1,387.70","1,400.00","1,399.70","1,411.24","1,493.50","1,046.20",863685,"1,218,865,905.35",26743
"06-Jan-2020","EQ","1,387.35","1,394.90","1,381.95","1,397.65","1,388.00","1,387.70","1,387.72","1,493.50","1,046.20",789499,"1,095,603,849.65",23554
"03-Jan-2020","EQ","1,395.50","1,402.90","1,391.55","1,399.05","1,397.00","1,397.65","1,395.93","1,493.50","1,046.20",243932,"340,511,745.25",12089
"02-Jan-2020","EQ","1,405.00","1,411.00","1,395.50","1,405.35","1,396.00","1,399.05","1,402.15","1,493.50","1,046.20",206412,"289,419,789.30",13354
"01-Jan-2020","EQ","1,388.05","1,412.00","1,387.00","1,386.90","1,405.00","1,405.35","1,402.91","1,493.50","1,046.20",252523,"354,266,989.75",8995
"31-Dec-2019","EQ","1,400.95","1,406.85","1,385.15","1,406.65","1,387.00","1,386.90","1,393.98","1,493.50","1,046.20",274758,"383,007,653.35",13986
"30-Dec-2019","EQ","1,402.00","1,409.40","1,395.05","1,398.25","1,401.70","1,406.65","1,402.79","1,493.50","1,046.20",216539,"303,758,791.15",11388
"27-Dec-2019","EQ","1,398.00","1,406.20","1,390.50","1,390.10","1,398.00","1,398.25","1,397.87","1,493.50","1,046.20",454312,"635,069,906.85",18677
"26-Dec-2019","EQ","1,384.10","1,396.00","1,377.00","1,376.90","1,389.50","1,390.10","1,390.59","1,493.50","1,046.20",577261,"802,734,661.25",19263
"24-Dec-2019","EQ","1,380.00","1,387.85","1,365.00","1,377.10","1,376.00","1,376.90","1,377.52","1,493.50","1,046.20",222884,"307,027,142.90",12315
